Date,ClassType,Hours,Month
2022-03-01 00:00:00,OFFPEAK,8,2022-03-01
2022-03-01 00:00:00,ONPEAK,16,2022-03-01
2022-03-02 00:00:00,OFFPEAK,8,2022-03-01
2022-03-02 00:00:00,ONPEAK,16,2022-03-01
2022-03-03 00:00:00,OFFPEAK,8,2022-03-01
2022-03-03 00:00:00,ONPEAK,16,2022-03-01
2022-03-04 00:00:00,OFFPEAK,8,2022-03-01
2022-03-04 00:00:00,ONPEAK,16,2022-03-01
2022-03-05 00:00:00,OFFPEAK,24,2022-03-01
2022-03-06 00:00:00,OFFPEAK,24,2022-03-01
2022-03-07 00:00:00,OFFPEAK,8,2022-03-01
2022-03-07 00:00:00,ONPEAK,16,2022-03-01
2022-03-08 00:00:00,OFFPEAK,8,2022-03-01
2022-03-08 00:00:00,ONPEAK,16,2022-03-01
2022-03-09 00:00:00,OFFPEAK,8,2022-03-01
2022-03-09 00:00:00,ONPEAK,16,2022-03-01
2022-03-10 00:00:00,OFFPEAK,8,2022-03-01
2022-03-10 00:00:00,ONPEAK,16,2022-03-01
2022-03-11 00:00:00,OFFPEAK,8,2022-03-01
2022-03-11 00:00:00,ONPEAK,16,2022-03-01
2022-03-12 00:00:00,OFFPEAK,24,2022-03-01
2022-03-13 00:00:00,OFFPEAK,23,2022-03-01
2022-03-14 00:00:00,OFFPEAK,8,2022-03-01
2022-03-14 00:00:00,ONPEAK,16,2022-03-01
2022-03-15 00:00:00,OFFPEAK,8,2022-03-01
2022-03-15 00:00:00,ONPEAK,16,2022-03-01
2022-03-16 00:00:00,OFFPEAK,8,2022-03-01
2022-03-16 00:00:00,ONPEAK,16,2022-03-01
2022-03-17 00:00:00,OFFPEAK,8,2022-03-01
2022-03-17 00:00:00,ONPEAK,16,2022-03-01
2022-03-18 00:00:00,OFFPEAK,8,2022-03-01
2022-03-18 00:00:00,ONPEAK,16,2022-03-01
2022-03-19 00:00:00,OFFPEAK,24,2022-03-01
2022-03-20 00:00:00,OFFPEAK,24,2022-03-01
2022-03-21 00:00:00,OFFPEAK,8,2022-03-01
2022-03-21 00:00:00,ONPEAK,16,2022-03-01
2022-03-22 00:00:00,OFFPEAK,8,2022-03-01
2022-03-22 00:00:00,ONPEAK,16,2022-03-01
2022-03-23 00:00:00,OFFPEAK,8,2022-03-01
2022-03-23 00:00:00,ONPEAK,16,2022-03-01
2022-03-24 00:00:00,OFFPEAK,8,2022-03-01
2022-03-24 00:00:00,ONPEAK,16,2022-03-01
2022-03-25 00:00:00,OFFPEAK,8,2022-03-01
2022-03-25 00:00:00,ONPEAK,16,2022-03-01
2022-03-26 00:00:00,OFFPEAK,24,2022-03-01
2022-03-27 00:00:00,OFFPEAK,24,2022-03-01
2022-03-28 00:00:00,OFFPEAK,8,2022-03-01
2022-03-28 00:00:00,ONPEAK,16,2022-03-01
2022-03-29 00:00:00,OFFPEAK,8,2022-03-01
2022-03-29 00:00:00,ONPEAK,16,2022-03-01
2022-03-30 00:00:00,OFFPEAK,8,2022-03-01
2022-03-30 00:00:00,ONPEAK,16,2022-03-01
2022-03-31 00:00:00,OFFPEAK,8,2022-03-01
2022-03-31 00:00:00,ONPEAK,16,2022-03-01
